Full_Date,Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
29-10-20,29,10,20,3201.27002,3257.25,3164,3211.01001,3211.01001,6596500
30-10-20,30,10,20,3157.75,3167,3019,3036.149902,3036.149902,8386400
02-11-20,2,11,20,3061.73999,3079.709961,2950.120117,3004.47998,3004.47998,7257400
03-11-20,3,11,20,3018.530029,3074.899902,2980.97998,3048.409912,3048.409912,4897900
04-11-20,4,11,20,3159.98999,3244.850098,3139.72998,3241.159912,3241.159912,6839000
05-11-20,5,11,20,3319.969971,3366.800049,3288.879883,3322,3322,5789300
06-11-20,6,11,20,3304.639893,3322,3232,3311.370117,3311.370117,4647300
09-11-20,9,11,20,3231.030029,3289,3112.110107,3143.73999,3143.73999,7190400
10-11-20,10,11,20,3095.02002,3114,3019.47998,3035.02002,3035.02002,6591000
11-11-20,11,11,20,3061.780029,3139.149902,3050,3137.389893,3137.389893,4366900
12-11-20,12,11,20,3159.949951,3175.879883,3086.050049,3110.280029,3110.280029,4362000
13-11-20,13,11,20,3122,3141.719971,3085.389893,3128.810059,3128.810059,3756200
16-11-20,16,11,20,3093.199951,3142.699951,3072.689941,3131.060059,3131.060059,3808700
17-11-20,17,11,20,3183.540039,3189.25,3135.26001,3135.659912,3135.659912,3444700
18-11-20,18,11,20,3134,3140,3105.100098,3105.459961,3105.459961,2916800
19-11-20,19,11,20,3105.310059,3125,3080.919922,3117.02002,3117.02002,3010300
20-11-20,20,11,20,3117.02002,3132.889893,3098.050049,3099.399902,3099.399902,3374400
23-11-20,23,11,20,3116.699951,3139.75,3065.459961,3098.389893,3098.389893,4708900
24-11-20,24,11,20,3100.5,3134.25,3086.26001,3118.060059,3118.060059,3602100
25-11-20,25,11,20,3141.870117,3198,3140.26001,3185.070068,3185.070068,3790400
27-11-20,27,11,20,3211.26001,3216.189941,3190.050049,3195.340088,3195.340088,2392900
30-11-20,30,11,20,3208.47998,3228.389893,3125.550049,3168.040039,3168.040039,4063900
01-12-20,1,12,20,3188.5,3248.949951,3157.179932,3220.080078,3220.080078,4544400
02-12-20,2,12,20,3221.649902,3232,3173.26001,3203.530029,3203.530029,3129300
03-12-20,3,12,20,3205.459961,3228.639893,3181.310059,3186.72998,3186.72998,2892000
04-12-20,4,12,20,3198.209961,3198.209961,3158.76001,3162.580078,3162.580078,2913600
07-12-20,7,12,20,3156.47998,3180.76001,3141.689941,3158,3158,2751300
08-12-20,8,12,20,3158.899902,3184.129883,3120.02002,3177.290039,3177.290039,3286300
